Id,HQ_ID,Facility Name,Address,NEIGHBOURHOOD,Lat,Long,Average Wait Time to First Assessment by a Doctor for All Patients:,Average Length of Stay for Low-Urgency Patients Not Admitted,% of patients finished visit within target 4 hours,Average Length of Stay for High-Urgency Patients Not Admitted,% of patients finished visit within target 8 hours,Average Length of Stay for All Patients Admitted,% of patients admitted from emergency within target 8 hours,Google Maps Rating,treatment,Number of Doctors ,Languages,ACCESSIBILITY,OFFICE_PHONE,EMAIL,WEBSITE
1,4948,William Osler Health System - Etobicoke General,"101 Humber College Blvd, Toronto, ON M9V 1R8","West Humber-Clairville, 1",43.72978344,-79.59869659,,2,89,3.8,95,26.1,24,2.4,"Family Medicine, Pediatrics, Radiation Oncology, Cardiac Surgery, Rheumatology, Cardiology, Otolaryngology, Head and Neck Surgery, General Surgery, Vascular Surgery, Obstetrics and Gynecology, Diagnostic Radiology, Anatomical Pathology, Anesthesiology, Internal Medicine, Ophthalmology, Orthopedic Surgery, Neurology, Hematological Pathology, Geriatric Medicine, Emergency Medicine , Thoracic Surgery, Psychiatry,",646,English ; interpretive services,Wheelchair accessible building including main and emergency entrances * barrier free washrooms * designated parking,"416-494-2120 ext 7
416-747-3528 ext 1 * crisis intervention unit 416-747-3355",,www.williamoslerhc.on.ca
2,4990,Humber River Hospital - Wilson Site,"1235 Wilson Ave, Toronto, ON M3M 0B2","Downsview-Roding-CFB, 26",43.72425819,-79.48921562,2.6,3.5,70,5,87,11.8,25,2.6,"Anesthesiology, Family Medicine, Emergency Medicine, Plastic Surgery, Endocrinology and Metabolism, Internal Medicine, Gastroenterology, Pediatrics, Cardiology, Medical Oncology, Ophthalmology, Psychiatry, Nephrology, Hematology, Paediatric Surgery, Critical Care Medicine, Obstetrics and Gynecology, Diagnostic Radiology, Respirology, General Surgery, Urology, Obstetrics and Gynecology, Community Medicine, Occupational Medicine, Pediatric General Surgery",468,English ; telephone service provides access to interpreters for over 140 languages,Unknown,416-242-1000 ext 42000 * Emergency Psychiatric Unit 416-242-1000 ext 43600,,www.hrh.ca
3,4824,The Hospital for Sick Children,"555 University Ave, Toronto, ON M5G 1X8","Bay Street Corridor, 76",43.65736357,-79.38743423,2.4,4.1,56,4.8,91,9.2,50,4.1,"Hematological Pathology, Psychiatry, Medical Oncology, Pediatrics, Obstetrics, Gynecology, Ophthalmology, Anesthesiology, Pain Medicine, Respirology, Infectious Diseases, Rheumatology, Plastic Surgery, Cardiovascular, Thoracic Surgery, Cardiology, Internal Medicine, Diagnostic Radiology, Paediatric Emergency Medicine, Child and Adolescent Psychiatry, Medical Genetics, Neurology, Rheumatology, Endocrinology and Metabolism, Obstetrics and Gynecology, Adolescent Medicine, Nephrology, General Surgery, Vascular Surgery",654,English ; Interpretive services,"Wheelchair accessible building including main entrance and barrier free washrooms * braille elevator, lowered elevator buttons * underground parking off Elm St","416-813-5807
Switchboard 416-813-1500 ; Patient Inquiry 416-813-6621",,www.sickkids.ca
4,3742,Sinai Health System - Mount Sinai Hospital,"600 University Ave, Toronto, ON M5G 1X5","Kensington-Chinatown, 78",43.65752783,-79.39044186,1.7,3.4,77,4.8,89,14.4,23,3.7,"Maternal Fetal Medicine, Obstetrics and Gynecology, Medical Oncology, General Internal Medicine, Internal Medicine, Family Medicine, Cardiology, Diagnostic Radiology, Acupuncture, Allograft Technologies (Bone Bank), Alzheimer’s Support, Appendix Cancer, Arthritis, Asthma, Audiology, Autoimmune Disease",1000,"English ; interpreters for many languages
English ; Interpretive Services",Wheelchair accessible automatic main entrance ; Easy access to elevator ; Elevator with braille and voice/tone features ; Barrier-free washroom including door and stall ; Parking garage on Murray St,"416-586-5054
Switchboard 416-596-4200 * Patient Inquiry 416-586-8300",patientrelationsunit@mtsinai.on.ca,www.mtsinai.on.ca
5,4938,North York General Hospital - General Site,"4001 Leslie St, Toronto, ON M2K 1E1","Bayview Village, 52",43.76961855,-79.36245333,1.7,2.7,84,4.3,93,17.4,23,3,"Cancer Care, Emergency Care, Family Medicine, Genetics, Laboratory Medicine, Maternal, Newborn and Paediatric Care, Medical Imaging, Medicine and Elder Care, Mental Health, Palliative Care, Surgery",740,English ; French ; Interpretive services,Wheelchair accessible building including main entrance and barrier free washrooms * designated parking,"416-756-6001 ext 0
416-756-6000",,www.nygh.on.ca
6,4891,Scarborough Health Network - Centenary,"2867 Ellesmere Rd, Scarborough, ON M1E 4B9",,43.7805596,-79.2068391,,3,76,4.2,92,20.1,25,2.3,"Surgery, Cancer Care, Cardiac Care, Diabetes, Emeregency Care, Kids Care, Maternal Newborn Care, Mental Health, Nephrology and Diyalysis, Palliative Care, Seniors Health, Surgery",533,,,416-284-8131,,
7,4830,Scarborough and Rouge Hospital - Birchmount,"3030 Birchmount Rd, Toronto, ON M1W 3W3","L'Amoreaux, 117",43.80189136,-79.30905396,1.2,2,92,,,19.3,24,2.5,"Surgery, Cancer Care, Cardiac Care, Diabetes, Emeregency Care, Kids Care, Maternal Newborn Care, Mental Health, Nephrology and Diyalysis, Palliative Care, Seniors Health, Surgery",145,English ; Interpretive services,Wheelchair accessible building including main entrance and barrier free washrooms * braille and tone elevator with lowered buttons * designated parking,"416-438-2911 ext 2550
416-495-2400",,www.TSH.to
8,4827,Scarborough Health Network - Scarborough General Site,"3050 Lawrence Ave E, Toronto, ON M1P 2V5","Bendale, 127",43.75614814,-79.24750191,1.4,,,4.4,91,21.9,16,2.5,"adult mental health,emergency services,family and community medicine,maternal/newborn services,medical services,paediatrics and surgical services,cancer care, diabetes",530,English ; Interpretive services,Wheelchair accessible building including main entrance and barrier free washrooms * designated parking,"General campus 416-438-2911 416-438-2911
416-438-2911 ext 6300
Birchmount campus 416-495-2400",,www.TSH.to
9,4800,Unity Health Toronto - St. Joseph's,"30 The Queensway, Toronto, ON M6R 1B5","High Park-Swansea, 87",43.63934991,-79.45009775,1.1,2.5,86,3.9,94,27.3,20,2.9,"Addictions Services, Adult Inpatient Mental Health, Bariatric Centre of Excellence, Cardiology, Child, Adolescent and Family Mental Health, Diagnostic Imaging, Dialysis – Regional Renal Program, Emergency Department, Family Birthing Centre, Family Medicine/Urban Family Health Team, Fracture and Orthopaedic Clinic, Intensive Care Unit, Laboratory Medicine Services, Medicine and Seniors Care, Neurology, Outpatient Chemotherapy, Outpatient Clinics – Ambulatory Care Centre, Outpatient Mental Health, Outpatient Rehabilitation Service, Paediatrics, Pain Management and Anesthesia, Palliative Care, Pharmacy, Reactivation Care Centre, Respirology, Surgery",463,English ; interpreter services for other languages,Wheelchair accessible building including main entrance and barrier free washrooms * designated parking on street and in parking garage,"416-530-6000
416-530-6003",,www.stjoe.on.ca
10,4831,Unity Health Toronto - St. Michael's,"30 Bond St, Toronto, ON M5B 1W8","Church-Yonge Corridor, 75",43.65364689,-79.37767928,1.9,2.9,81,5.1,87,18.8,23,3.5,"Allergy and Immunology, Angiography/Interventional Radiology, Arrhythmia Clinic, Arthritis Care Clinic, Blood Lab, Breast Centre, Cancer Care/Inpatient Oncology Unit, Cardiology Inpatient Unit, CAT Scan (CT Scan), Chiropractics, Clinical Neurophysiology (EMG, EEG), Colposcopy Clinic, Dermatology Clinic, Diabetes and Endocrinology Centre, Ear, Nose, Throat and Voice (ENT), Echocardiography, Elder's Clinic, Emergency Department, Eye Clinic, General Internal Medicine, Gynecology Clinic, Head Injury Clinic, Heart Failure, MRI , Nephrology, Neurosurgery, Ophthalmology, Pediatric, Osteoporosis/Metabolic/Bone , Women's Health Centre, Vascular Surgery , Thromboembolism/VTE",788,English ; Interpretive services,Bond St entrance not wheelchair accessible * Queen and Victoria St entrances wheelchair accessible * barrier free washrooms * braille elevator Queen and Victoria St * entrances close to parking,"Switchboard 416-360-4000 * Patient Inquiry 416-864-5454
416-864-5094",,www.stmichaelshospital.com
