Id,Facility Name,Address,Lat,Long,Average Waiting Time,Google Maps Rating,Doctors Number,OFFICE_PHONE,EMAIL,WEBSITE
1,Academy Foot And Orthotic Clinics,"752 Broadview Ave, Toronto, ON M4K 2P1, Canada",43.6757469,-79.358766,,4.9,9,416-465-8737,,https://www.academyclinics.com/
2,Pars Dental Clinic,"2875 Keele St, North York, ON M3M 2G7, Canada",43.7330391,-79.4832319,,4.7,1,(416) 630-1417,info@parsdentalclinic.com,http://www.parsdentalclinic.com/
3,Gary Weinstein Clinic Toronto,"2401 Yonge St, Toronto, ON M4P 3H1, Canada",43.7099926,-79.398698,,4,1,(416) 485-9044,,
4,Eglinton Bayview Implant Denture Clinic,"586 Eglinton Ave E Unit #309, Toronto, ON M4P 1P2, Canada",43.7108638,-79.3795952,,5,1,(416) 489-7889,info@ebdentureclinic.com,https://www.ebdentureclinic.com/
5,Northtown Medical Clinic | Walk-In Clinic,"10 Northtown Way #108, North York, ON M2N 7L4, Canada",43.7756348,-79.4132267,,3.9,0,4162708781,,
6,Toronto Cosmetic Clinic,"5400 Yonge St #110, North York, ON M2N 5R5, Canada",43.774705,-79.4145224,,4.4,2,(416)221-5554,,http://tcclinic.com/
7,Earl Bales Walk In Clinic,"4256 Bathurst St #100, North York, ON M3H 5Y8, Canada",43.7510758,-79.4376721,,2.4,1,,,
8,Dr. Fred Hui Clinic,"421 Bloor St E, Toronto, ON M4W 3T1, Canada",43.672263,-79.377044,,4.5,1,(416) 920-4200,drhui@drhui.com,http://drhui.com/
9,York Mills Eye Clinic,"801 York Mills Rd, North York, ON M3B 1X7, Canada",43.7528566,-79.3583545,,4.7,4,,,
10,Toronto Foot Clinic,"South Tower Bell Trinity Square, 483 Bay St B1-09, Toronto, ON M5G 2E1, Canada",43.6537392,-79.3821413,,4.1,1,416-506-3668,downtowntorontofootclinic@gmail.com,http://downtowntorontofoot.com/
11,Allevio Pain clinic Toronto,"240 Duncan Mill Rd #101, North York, ON M3B 3S6, Canada",43.7618072,-79.3519,,4.3,1,,,
12,Timeless Health Clinic,"25 Wood St #1, Toronto, ON M4Y 2P9, Canada",43.662267,-79.381794,,4.6,1,4169664106,Info@timelesshealthclinic.com,https://www.timelesshealthclinic.com/
13,William Kavouris Clinic Toronto,"125 The Queensway, Etobicoke, ON M8Y 1H6, Canada",43.6300146,-79.4827916,,4.3,1,,,
14,The Voice Clinic,"180 Dundas St W #2003, Toronto, ON M5G 1Z8, Canada",43.6553678,-79.3864292,,4.3,4,(647) 361-8182,info@thevoiceclinic.com,http://www.thevoiceclinic.com/
15,Carlton & Church Walk-In & Medical Clinic,"20 Carlton St, Toronto, ON M5B 2H5, Canada",43.6615227,-79.3815788,,4.3,0,4166461890,,
16,Cloud Care Clinics,"55 Dundas St E, Toronto, ON M5B 1C6, Canada",43.655991,-79.378742,,3.8,0,4163616000,,
17,Stephen Fremes Clinic Toronto,"2075 Bayview Ave, Toronto, ON M4N 3M5, Canada",43.721593,-79.376878,,5,1,,,
18,Colleen McDermott Clinic Toronto,"59 Hayden St Suite 700, Toronto, ON M4Y 2P2, Canada",43.6699313,-79.3837149,,4.4,1,,,
19,Sharon Koren Clinic Toronto,"4800 Leslie St, North York, ON M2J 2K9, Canada",43.779726,-79.3661184,,5,1,,,
20,North York Dental Clinic,"5486 Yonge St, North York, ON M2N 7L3, Canada",43.7779045,-79.4154386,,4.4,1,6473456004,smile@northyorkdentalclinic.com,http://www.northyorkdentalclinic.com/
21,Pierre-Marc B. Legault Clinic Toronto,"1849 Yonge St #816, Toronto, ON M4S 1Y2, Canada",43.696949,-79.3958409,,3.1,1,,,
22,Ali Ghassemi Clinic Toronto,"54 Finch Ave W, North York, ON M2N 2H2, Canada",43.7789221,-79.4203248,,4.1,1,,,
23,David Sarile Clinic Toronto,"1849 Yonge St Suite # 404, Toronto, ON M4S 1Y2, Canada",43.696949,-79.3958409,,3.7,1,,,
24,Hala Maal-Bared Clinic Toronto,"80 College St, Toronto, ON M5G 2E2, Canada",43.6607676,-79.3872533,,1.5,1,,,
25,Pervez Ali Clinic Toronto,"34 Kern Rd, North York, ON M3B 1T1, Canada",43.7496404,-79.3512815,,4.2,1,,,
26,Joseph M. Da Costa Clinic Toronto,"700 Bay St, Toronto, ON M5G 1Z6, Canada",43.6581996,-79.3853172,,4.7,1,,,
27,Shalu Pal Clinic Toronto,"408-80 Bloor St W, Toronto, ON M5S 2V1, Canada",43.669831,-79.3902793,,4.9,1,(416) 924-9210,drpal@yorkvilleeyeinstitute.com,http://www.drshalupal.com/
28,Queen Spadina Medical Walk In Clinic,"455 Queen St W, Toronto, ON M5V 2A9, Canada",43.6484071,-79.3971444,,2.8,1,,,
29,Katie Au Clinic Toronto,"208 Bloor St W #506, Toronto, ON M5S 1T8, Canada",43.6686597,-79.3958395,,5,1,(416) 479-8554,adelaide_reception@athletescare.com,https://www.drkatieau.com/
30,Rosan Holistic Clinic,"Richmond Hill, ON L4C 3C7, Canada",43.8828401,-79.4402808,,0,1,(905) 596-8690,,
31,Linda Yolles Clinic Toronto,"39 Pleasant Blvd, Toronto, ON M4T 1K2, Canada",43.6872994,-79.3919627,,3.4,1,,,
32,Artin Ternamian Clinic Toronto,"30 The Queensway, Toronto, ON M6R 1B5, Canada",43.6406311,-79.4503136,,2.9,1,,,
33,Oleg Klipitch Clinic Toronto,"1278 The Queensway, Etobicoke, ON M8Z 1S3, Canada",43.6212643,-79.5262432,,3.1,1,,,
34,Dr Ernest Jonathon Walk In Clinic,"1221 St Clair Ave W, Toronto, ON M6E 1B5, Canada",43.662771,-79.4216742,,2.2,1,4166525600,,
35,Bathurst Lawrence Walk-In Clinic,"3077 Bathurst St, North York, ON M6A 1Z9, Canada",43.7199968,-79.4296703,,2.7,1,(416) 782-7772,,
36,Lillian's Acupuncture & Herbal Clinic,"1160 Warden Ave, Scarborough, ON M1R 2R1, Canada",43.7459107,-79.2954212,,4.4,1,(416) 841-0963,,
37,Skin Vitality Medical Clinic Richmond Hill,"8865 Yonge St Unit B-6, Richmond Hill, ON L4C 6Z1, Canada",43.843423,-79.429366,,3.3,1,8773567776,info@skinvitality.ca,http://www.skinvitality.ca/
38,Downtown Foot Clinic,"123 Queen St W Unit C34 (Concourse level), Toronto, ON M5H 3M9, Canada",43.651181,-79.384465,,4.6,1,(416) 363-0407,info@downtownfootclinic.com,http://www.downtownfootclinic.com/
39,Dr. Najwa Esabri Clinic,"80 College St, Toronto, ON M5G 2E2, Canada",43.6607676,-79.3872533,,1.5,1,(647) 748-8861,,
40,Holly Endoscopy Clinic,"40 Holly St #301, Toronto, ON M4S 3C3, Canada",43.7055418,-79.396425,,4.2,1,(416) 486-8088,info@hollyendoscopy.ca,https://www.hollyendoscopy.ca/
41,John Rutka Clinic Toronto,"200 Elizabeth St, Toronto, ON M5G 2C4, Canada",43.6591111,-79.3882094,,3.8,1,,,
42,Willowdale Medical Clinic,"6023 Yonge St, North York, ON M2M 3W2, Canada",43.7896244,-79.4175495,,2.3,1,4169162733,,http://www.willowdalemedicalclinic.com/
43,Opthalmology Clinic,"600 University Ave, Toronto, ON M5G 1X5, Canada",43.6574564,-79.3903473,,3,1,,,
44,Richard Holtby Clinic Toronto,"43 Wellesley St E, Toronto, ON M4Y 1H1, Canada",43.6650852,-79.3822187,,4,1,,,
